x	intensity
1.486351562999999942e+03	5.505359612499999145e+01
1.484718750000000000e+03	5.656922112499999145e+01
1.483083984000000100e+03	6.420279712500000358e+01
1.481449219000000085e+03	5.501055112499999922e+01
1.479814452999999958e+03	5.652520012500000490e+01
1.478179687999999942e+03	5.192450712499999810e+01
1.476542969000000085e+03	5.191081212499999964e+01
1.474906250000000000e+03	5.495314812499999135e+01
1.473271484000000100e+03	5.188340712499999796e+01
1.471632812999999942e+03	7.172546412500000201e+01
1.469996094000000085e+03	4.727489112499999635e+01
1.468359375000000000e+03	5.794915812500000385e+01
1.466720702999999958e+03	5.793415112499999253e+01
1.465082030999999915e+03	6.097126012499999348e+01
1.463445312999999942e+03	6.858427412500000742e+01
1.461804687999999942e+03	6.093993412500000062e+01
1.460166015999999900e+03	5.482394412500000414e+01
1.458527344000000085e+03	6.700762912500000823e+01
1.456886719000000085e+03	5.631965612500000162e+01
1.455246094000000085e+03	6.087727312499999499e+01
1.453605469000000085e+03	6.543293712500000936e+01
1.451964844000000085e+03	5.932249412499999863e+01
1.450324219000000085e+03	4.407591612499999911e+01
1.448681640999999900e+03	6.538299512500000787e+01
1.447039062999999942e+03	4.861917112500000115e+01
1.445396484000000100e+03	7.296041912500000137e+01
1.443753905999999915e+03	5.924577312499999238e+01
1.442111327999999958e+03	6.531639812500000630e+01
1.440468750000000000e+03	5.769392412500000233e+01
1.438824219000000085e+03	5.615806612499999773e+01
1.437179687999999942e+03	4.549979012499999698e+01
1.435535155999999915e+03	4.852775212499999924e+01
1.433890625000000000e+03	5.915369412499999413e+01
1.432244140999999900e+03	7.737273412500000802e+01
1.430599609000000100e+03	5.152697412499999530e+01
1.428953125000000000e+03	6.214540812499999589e+01
1.427306640999999900e+03	6.972216812500001026e+01
1.425660155999999915e+03	5.755872312499999310e+01
1.424013672000000042e+03	5.602580212499999135e+01
1.422365234000000100e+03	3.476509112499999787e+01
1.420718750000000000e+03	6.813436912500000631e+01
1.419070312999999942e+03	6.204937712499999947e+01
1.417421875000000000e+03	7.416611512500000458e+01
1.415773437999999942e+03	6.656616212500000529e+01
1.414125000000000000e+03	4.987384812499999498e+01
1.412474609000000100e+03	6.198535112500000110e+01
1.410824219000000085e+03	6.196934512499999670e+01
1.409173827999999958e+03	6.801316812500000708e+01
1.407523437999999942e+03	5.587879912499999335e+01
1.405873047000000042e+03	4.829256812499999540e+01
1.404222655999999915e+03	7.461582182386851514e+01
1.402570312999999942e+03	4.568827007587420042e+01
1.400917969000000085e+03	4.709069532986445950e+01
1.399265625000000000e+03	7.912434842639430599e+01
